Unnamed: 0,number,type,date,contact_type,short_description,content,category,subcategory,customer,resolved_at,close_notes,agent,reassigned_count,resolution_time,issue/request,software/system,output,assignment_group,item_id,role,poor_close_notes,info_score_close_notes,info_score_poor_close_notes
420,INC0028641,Incident,2/13/2021 13:25,Email,Frequent logout reports during peak hours,"Received a detailed description from a customer facing frequent unexpected logouts, especially when accessing shared folders on Box Enterprise. The issue predominantly occurs during peak hours. The customer has already attempted cache clearing and using alternative browsers without success. Escalating this to the development team for a deeper investigation, as these steps did not resolve the problem. Awaiting further instructions.",SOFTWARE,ERROR,"Cook, Olivia",,"Received a detailed report from the customer regarding frequent unexpected logouts while accessing shared folders on Box Enterprise, particularly during peak hours. 
The customer had already attempted clearing the cache and using different browsers, but these measures did not resolve the issue. 
Escalated the problem to the development team for further investigation, as the root cause remains unclear. 
Awaiting additional guidance and updates from the development team to address the logout frequency. 
Ticket will remain open until a resolution is provided, and the customer will be informed of any progress. 
Closure notes will be updated once more information is available.","Wood, John",1,11806.28954,Unexpected logout sessions,Box Enterprise,Software/System: Box Enterprise ; Issue/Request: Unexpected logout sessions,,12586,agent,The issue has been escalated for further investigation. Awaiting updates from the development team.,0.6000000000000001,0.2
421,TASK0043573,Request,2/25/2021 14:20,Phone,Request for SecureGate v5.2 installation on marketing department laptops.,"There's been a submission for SecureGate version 5.2 to be set up on the marketing department's laptops. The team intends to utilize its latest features for their new campaign strategy. 
Checked for existing license validity and prerequisites. 

Forwarding the installation request to the Technical Support Team.",SOFTWARE,INSTALLATION,"Lopez, Sofia",2/25/2021 15:30,"Resolved the request by installing SecureGate version 5.2 on the marketing department's laptops. The following steps were performed: 
1. Checked the existing license validity and confirmed it was up to date. 
2. Verified that all system prerequisites were met on the respective laptops. 
3. Downloaded the SecureGate v5.2 installer from the official source. 
4. Executed the installation process on each laptop successfully. 
5. Performed a post-installation check to ensure the application was functioning correctly and that all desired features were accessible. 
6. Confirmed with the marketing team that the software was installed and operating as expected. 
The issue has been resolved and the ticket is now closed.","Abbott, Ryder",0,70.76,SecureGate Install Request,SecureGate,Software/System: SecureGate ; Issue/Request: SecureGate Install Request,DESKTOP SUPPORT,4749,agent,No changes noted.,0.9,0.0
422,INC0035661,Incident,1/9/2021 13:10,Phone,Performance issues with Redis causing slow response times,"Reported performance issues with Redis, notably slow response times during data processing tasks. 
Conducted preliminary system checks to rule out hardware limitations. 

Escalating to Performance Optimization Team",SOFTWARE,MALFUNCTION,"Rivera, Zachary",1/9/2021 13:42,"Upon receiving the ticket, initial diagnostics were performed to check the system resource utilization, including CPU, memory, and disk I/O. No significant hardware limitations were found. Redis logs were reviewed, revealing a high amount of latency during data processing operations. Verification of network latency was conducted and ruled out as a cause. As the issue appears to be related to performance optimization within Redis, the ticket has been escalated to the Performance Optimization Team for further analysis and resolution.","Martinez, Isabella",2,32.19,Redis Slow Performance Issue,Redis,Software/System: Redis ; Issue/Request: Redis Slow Performance Issue,PERFORMANCE MONITORING,817,agent,No action required.,0.7000000000000001,0.0
423,INC0046073,Incident,3/12/2021 7:21,Email,Issue with exporting reports from Insight360,"Issue with exporting reports from Insight360 in the desired format. 
Tested export function with different settings to identify the malfunction. 

Escalating to Technical Support Team",SOFTWARE,MALFUNCTION,"Ruiz, Mildred",3/12/2021 11:11,"The user was experiencing issues when exporting reports from Insight360 in the desired format. The troubleshooting process included testing the export function with different settings to identify the malfunction. Firstly, verified the user's access permissions to ensure they had the necessary rights to export reports. Secondly, tested the export process with various file formats (PDF, Excel, CSV) to determine if the issue was format-specific. Thirdly, checked the version of Insight360 to ensure it was up to date and applied any available updates. Lastly, cleared the application's temporary files and cache. After these steps, the export function was tested again, and the reports were successfully exported in the desired format.","Nelson, Eva",0,230.43,Insight360 Export Issue,Insight360,Software/System: Insight360 ; Issue/Request: Insight360 Export Issue,APPLICATION SUPPORT,5991,agent,Issue Resolved,0.8,0.0
424,INC001971,Incident,1/14/2021 8:56,Chat,Microsoft Exchange Server Not working  : IllegalArgumentException: Invalid input,"I'm having trouble with Microsoft Exchange Server. Every time I try to use it, I keep getting an error message that says 'IllegalArgumentException: Invalid input'. Can you please help me fix this? Also, I clicked the checkbox to remember the password in case that matters.",SOFTWARE,ERROR,"Perez, Ronald",1/14/2021 13:53,"Remoted in to the customer's system to investigate the Microsoft Exchange Server issue. 
Reviewed the error message 'IllegalArgumentException: Invalid input' that was occurring during their attempts to use the server. 
Checked the configuration settings for the Exchange Server and confirmed that the password was being saved correctly as the customer had selected the option to remember the password. 
Identified that the error was caused by an incorrect input format in the user credentials. 
Assisted the customer in re-entering their credentials to ensure they met the required format. 
Tested the connection to the Exchange Server after the credentials were corrected, and confirmed that the issue was resolved. 
Informed the customer about the importance of ensuring that inputs are correctly formatted to avoid similar issues in the future. 
The customer expressed satisfaction with the resolution and confirmed that they can now access the Exchange Server without any further errors. 
Ticket closed as the issue has been successfully resolved.","Peterson, Mia",2,17855.56798,Error - IllegalArgumentException: Invalid input,Microsoft Exchange Server,Software/System: Microsoft Exchange Server ; Issue/Request: Error - IllegalArgumentException: Invalid input,TIER 2 TEAM,9515,customer,Issue resolved. User can access Microsoft Exchange Server now.,0.9,0.1
425,TASK0037215,Request,1/20/2021 7:10,Phone,Request for setup of Adobe Creative Cloud version 5.2 on marketing department's laptops,"There's been a submission for Adobe Creative Cloud version 5.2 to be set up on the marketing department's laptops. The team intends to utilize its latest features for their new campaign strategy. 
Checked for existing license validity and prerequisites. 

Forwarding the installation request to the Technical Support Team.",SOFTWARE,INSTALLATION,"Brown, Sarah",1/20/2021 8:08,Reviewed the request for installing Adobe Creative Cloud version 5.2 on the marketing department's laptops. Verified the validity of the existing licenses and ensured all prerequisites were met. Forwarded the installation request to the Technical Support Team for implementation.,"Baker, Mason",0,58.89,Adobe Creative Cloud Install Request,Adobe Creative Cloud,Software/System: Adobe Creative Cloud ; Issue/Request: Adobe Creative Cloud Install Request,DESKTOP SUPPORT,1588,agent,Fixed,0.6000000000000001,0.0
426,INC007931,Incident,1/6/2021 15:16,Self-service,Symantec Endpoint Protection Not Opening ,"I'm having trouble with Symantec Endpoint Protection on my computer. It keeps showing an error message saying 'Device driver not found'. I've tried clearing the cookies and cache and even restarted my browser, but nothing seems to fix it. Can you help?",SOFTWARE,ERROR,"Perry, Isabella",1/6/2021 20:20,"Remoted in to the customer's computer to investigate the Symantec Endpoint Protection issue. 
Checked the software version and confirmed it was up to date. 
Reviewed the error message 'Device driver not found' and determined that it was likely related to a missing or outdated driver. 
Uninstalled and then reinstalled the Symantec Endpoint Protection software to ensure all components were properly configured. 
During the reinstallation, verified that all necessary drivers were installed correctly. 
Tested the application post-installation and confirmed that it opened without any errors. 
Provided the customer with instructions on how to check for future updates and maintain the software. 
The customer reported that the issue was resolved and they were able to use Symantec Endpoint Protection without further problems. 
Ticket closed as the issue has been successfully resolved and the customer is satisfied with the outcome.","Howard, Samantha",1,18263.92425,Error - Device driver not found,Symantec Endpoint Protection,Software/System: Symantec Endpoint Protection ; Issue/Request: Error - Device driver not found,TIER 2 TEAM,8915,customer,Issue resolved. Customer can now use Symantec Endpoint Protection.,0.9,0.1
427,INC001138,Incident,3/19/2021 13:13,Email,Cisco Webex Malfunction ,"The user is having trouble with Cisco Webex and is receiving the following error message:
['Error: ', 'Issue: ', '', '\t', '  ', '- ']""Error: Cannot find symbol""

Clicked the check box to remember the password

Issue resolved
Escalated to UIRI SUPPORT GROUP",SOFTWARE,ERROR,"Romero, Leonardo",3/19/2021 13:49,"Diagnosed the issue by reviewing the error message ""Error: Cannot find symbol"" that the user encountered while using Cisco Webex. 
Checked the user's configuration and ensured that the option to remember the password was correctly set. 
After troubleshooting, the issue was escalated to the UIRI Support Group for further investigation. 
The user reported that the issue has since been resolved. 
Provided the user with guidance on how to contact support if the problem recurs. 
Ticket closed as the issue has been addressed and the user is satisfied with the resolution.","Hamilton, Elijah",2,2165.797247,Error - Error: Cannot find symbol,Cisco Webex,Software/System: Cisco Webex ; Issue/Request: Error - Error: Cannot find symbol,TIER 2 TEAM,9138,agent,Issue resolved. Escalated to UIRI SUPPORT GROUP.,0.6000000000000001,0.1
428,INC0065647,Incident,1/14/2021 8:56,Chat,Sales report figures are off,"Hi, I've noticed that the sales report in Salesforce CRM is showing unexpected figures. It seems like the data is not being filtered correctly. Could you please look into this?",SOFTWARE,ERROR,"Kelly, Gregory",,"Remoted into the Salesforce CRM to investigate the sales report discrepancies. 
Checked the filtering settings and confirmed that the data was not being filtered as intended. 
Adjusted the filter criteria to ensure accurate data representation in the sales report. 
Ran a test report to verify that the figures now align with expected outcomes. 
Provided the customer with a brief overview of how to adjust filters in the future for better accuracy. 
The sales report is now displaying correct figures, and the customer has confirmed satisfaction with the resolution. 
Ticket closed as the issue has been resolved.","Bell, Camila",1,9513.941961,Inaccurate report or dashboard results due to incorrect data filters.,Salesforce CRM,Software/System: Salesforce CRM ; Issue/Request: Inaccurate report or dashboard results due to incorrect data filters.,,12083,customer,Issue resolved.,0.8,0.0
429,INC0039735,Incident,2/3/2021 11:43,Email,Sluggish behavior in TrustNet when executing large queries.,"Users are experiencing sluggish behavior with TrustNet when executing large queries. Preliminary checks were performed to eliminate the possibility of hardware issues. 

The concern has been escalated to the Performance Optimization Team.",SOFTWARE,ERROR,"James, Caleb",2/3/2021 16:25,"The issue was related to performance degradation in TrustNet during the execution of large queries. Initial troubleshooting steps included verifying hardware performance, confirming sufficient memory and CPU availability, and checking for any hardware bottlenecks, all of which were ruled out. Further evaluation revealed that the database query optimizer was not performing efficiently. The optimization settings were adjusted, and indexing strategies were revised to ensure faster query execution. Following these adjustments, users reported a significant improvement in performance.","Watson, Samuel",2,282.31,TrustNet Slow Performance Issue,TrustNet,Software/System: TrustNet ; Issue/Request: TrustNet Slow Performance Issue,PERFORMANCE MONITORING,2850,agent,The issue has been resolved,0.8,0.0
430,INC0047338,Incident,3/19/2021 11:54,Self-service,WebWise application crashes on save action,"I've received a complaint about WebWise collapsing whenever a save action is attempted. After conducting an initial review of the log files for any error codes, 

I'm escalating this issue to the Software Maintenance Team for resolution.",SOFTWARE,ERROR,"Carter, Natalie",3/19/2021 15:36,"Reviewed the issue where WebWise was collapsing on save. Initially examined log files and identified recurring error codes related to memory allocation failures. Cleared application cache and temporary files, which did not resolve the issue. Subsequently, updated WebWise to the latest version and tested the save functionality, which worked without issues. Confirmed with the user that the application is now stable.","Robinson, Brian",0,222.99,WebWise Crashing When Saving Files,WebWise,Software/System: WebWise ; Issue/Request: WebWise Crashing When Saving Files,APPLICATION SUPPORT,6623,agent,ISSUE RESOLVED,0.9,0.0
431,TASK0044507,Request,3/3/2021 11:20,Phone,Request for training on advanced ZoomInfo features to improve productivity,"Employee has requested training on advanced features of ZoomInfo to improve productivity. 
Reviewed available training materials and scheduled a session with a certified trainer. 

Escalating to Training and Development Team",SOFTWARE,CONFIGURATION,"Ortiz, Theresa",3/3/2021 13:53,The request for training on advanced ZoomInfo features was processed. Available training materials were reviewed and a training session with a certified trainer was scheduled for the employee. No escalation was required as the training materials and session setup addressed the employee's needs.,"Fisher, Grace",0,153.09,ZoomInfo Training Request,ZoomInfo,Software/System: ZoomInfo ; Issue/Request: ZoomInfo Training Request,SERVICE DESK,5205,agent,Fixed,0.6000000000000001,0.0
432,TASK0048239,Request,3/25/2021 15:03,Phone,SecureGate performance issue and potential training requirement,Our team member needs help with SecureGate to work faster. We checked available training guides and will have an expert teach us. The Training and Development Team is looking into it.,SOFTWARE,CONFIGURATION,"Bennett, Scarlett",3/25/2021 21:34,"Issue resolved by enhancing the performance of SecureGate and providing additional training. Troubleshooting steps included: 1. Verified the system requirements and ensured all software dependencies were up-to-date.2. Cleared application cache and optimized the configuration settings for better performance.3. Conducted internal training sessions facilitated by an expert from the Training and Development Team.These steps resulted in improved performance and better understanding of SecureGate usage, resolving the issue comprehensively.","Hernandez, Juan",2,391.74,SecureGate Training Request,SecureGate,Software/System: SecureGate ; Issue/Request: SecureGate Training Request,TRAINING AND DEVELOPMENT,7095,customer,See worknotes,0.7000000000000001,0.0
433,INC0036251,Incident,1/14/2021 8:17,Phone,"SmartRecruit application is running slow, especially with large data handling","SmartRecruit is running so slow, especially when I have to handle a lot of data. I made sure it's not my computer causing the problem. Can you please speed it up? Thanks!",SOFTWARE,ERROR,"Evans, Chloe",1/14/2021 11:36,"Issue was due to application performance problems when handling large volumes of data. Troubleshooting steps included verifying system performance and network connectivity, clearing application cache, updating SmartRecruit to the latest version, and optimizing application settings. Additionally, a support ticket was created with the SmartRecruit vendor for further performance tuning. After these steps, the application performance improved significantly and the user confirmed resolution.","Richardson, Owen",0,199.64,SmartRecruit Slow Performance Issue,SmartRecruit,Software/System: SmartRecruit ; Issue/Request: SmartRecruit Slow Performance Issue,HR SYSTEMS SUPPORT,1117,customer,Updated,0.7000000000000001,0.0
434,TASK0035668,Request,1/9/2021 13:19,Email,Request for EQPlan customizations for the department,Our department is looking to customize our EQPlan and we have prepared a list of the specific changes we wish to implement. We'd like this request to be transferred to the Custom Solutions Team to facilitate these modifications.,SOFTWARE,CONFIGURATION,"Alvarez, Ethan",1/9/2021 16:43,The ticket was reviewed and it was identified as a request for custom software adjustments to EQPlan. The request has been forwarded to the Custom Solutions Team for further handling and implementation. No immediate troubleshooting steps were required from the IT helpdesk team as this falls under a custom development task.,"Hernandez, Matthew",1,204.56,EQPlan Configuration Request,EQPlan,Software/System: EQPlan ; Issue/Request: EQPlan Configuration Request,SOFTWARE DEVELOPMENT,820,agent,Resolved,0.4,0.0
435,INC008848,Incident,2/18/2021 9:31,Phone,Confluence Malfunction  : USB device descriptor request failed,"I've been having trouble accessing Confluence. Every time I try, I get this error message saying 'USB device descriptor request failed.' I've already tried clearing the cache and cookies, but nothing changed. Can you help me fix this?",SOFTWARE,ERROR,"White, Michelle",2/18/2021 11:43,"Investigated the reported issue with accessing Confluence and the error message 'USB device descriptor request failed.' 
Cleared the browser cache and cookies as initially attempted by the user, but the issue persisted. 
Checked the browser version and confirmed it was up to date. 
Reviewed the system's USB settings and found that a connected USB device was causing a conflict. 
Disconnected the USB device and tested access to Confluence again, which resolved the issue. 
Advised the user to check for any faulty USB devices or drivers that may cause similar issues in the future. 
The user confirmed that they can now access Confluence without any errors. 
Ticket closed as the issue has been resolved and the user is satisfied with the outcome.","Sanders, Philip",3,7921.46833,Error - USB device descriptor request failed,Confluence,Software/System: Confluence ; Issue/Request: Error - USB device descriptor request failed,TIER 2 TEAM,10740,customer,Issue resolved. User can access Confluence now.,0.9,0.1
436,INC0046956,Incident,3/17/2021 15:08,Self-service,AgileCraft crashes when saving files,"I was working on AgileCraft, but every time I try to save my files, the program crashes unexpectedly. Could you look into this issue? It happens repeatedly and I've checked the basic troubleshooting steps. Thank you!",SOFTWARE,ERROR,"Adams, Emily",3/18/2021 4:49,Issue resolved by performing several troubleshooting steps: 1. Checked system logs and identified error codes pointing to insufficient memory allocation. 2. Increased the memory allocation for AgileCraft in the configuration settings. 3. Cleared temporary files and cache to ensure there were no conflicts. 4. Updated AgileCraft to the latest version to ensure all recent bug fixes were applied. 5. Rebooted the system to apply changes. Verified with user that the application no longer crashes when saving files.,"Foster, Craig",3,821.27,AgileCraft Crashing When Saving Files,AgileCraft,Software/System: AgileCraft ; Issue/Request: AgileCraft Crashing When Saving Files,SOFTWARE DEVELOPMENT,6433,customer,No further action required,0.9,0.0
437,INC0069573,Incident,2/13/2021 13:25,Email,Evaluation of build timeout issues in customer's Travis CI environment,"In engaging with the customer, it's clear their Travis CI builds are timing out due to default timeout restrictions. These limitations are impacting the efficiency of their development processes. The customer has attempted to rectify this by optimizing their codebase and build scripts but continues to face time limits. As Travis CI enforces a maximum duration for jobs, it's proposed that we collaborate to explore increasing this limit where feasible or alternatively, segmenting their build processes more effectively to fit within the constraints. In the interim, I have advised the customer to run parallel builds or explore a deeper optimization of dependencies and processes.",SOFTWARE,ERROR,"Harris, Derek",,"Engaged with the customer to assess the build timeout issues they were experiencing in their Travis CI environment. 
Identified that the timeouts were a result of default timeout restrictions imposed by Travis CI. 
Discussed the impact of these limitations on the customer’s development efficiency. 
Reviewed the customer’s attempts to optimize their codebase and build scripts, which were not sufficient to resolve the timeouts. 
Proposed collaboration to explore options for increasing the job timeout limits where feasible. 
Suggested segmenting their build processes more effectively to fit within the existing constraints. 
Advised the customer to run parallel builds as a temporary solution. 
Encouraged a deeper optimization of their dependencies and processes to improve overall build performance. 
The customer is now aware of potential strategies to mitigate the timeout issues. 
Ticket closed as the customer has a clear plan moving forward and expressed satisfaction with the guidance provided.","Martinez, James",3,3119.021086,Builds timing out due to default timeout limits.,Travis CI,Software/System: Travis CI ; Issue/Request: Builds timing out due to default timeout limits.,,12991,agent,The build timeout issues in the customer's Travis CI environment have been noted. We discussed possible solutions and provided some recommendations. No further action is required at this time.,0.7000000000000001,0.2
438,INC0041608,Incident,2/13/2021 13:08,Phone,FACMgr crashes upon saving documents,The customer has reported that the FACMgr software is consistently shutting down whenever they attempt to save documents. They have reviewed the error logs but couldn't discern the cause of the issue. They have escalated this matter to us for further analysis and resolution.,SOFTWARE,ERROR,"Gray, Emma",2/13/2021 15:50,"Investigated the recurring issue with FACMgr shutting down when saving documents. Initial checks involved reviewing the error logs, which indicated a potential conflict with recent updates. The following troubleshooting steps were taken: 1) Ensured that the software was up-to-date with the latest patches. 2) Cleared any temporary files that might have been causing conflicts. 3) Verified the integrity of the software installation and reinstalled FACMgr. 4) Tested saving documents post-reinstallation to confirm the issue was resolved. The above steps successfully resolved the problem, and FACMgr is now operating correctly.","Sanders, Philip",0,162.1,FACMgr Crashing When Saving Files,FACMgr,Software/System: FACMgr ; Issue/Request: FACMgr Crashing When Saving Files,APPLICATION SUPPORT,3776,agent,See worknotes,0.8,0.0
439,TASK0043770,Request,2/26/2021 12:27,Chat,Request for educational session on ConnectHub's complex features,"I would like to receive an educational session on ConnectHub’s complex features to enhance our work performance, and would appreciate it if a skilled instructor could be arranged.",SOFTWARE,CONFIGURATION,"Robinson, Michelle",2/26/2021 13:38,"The user requested an educational session on the complex features of ConnectHub to enhance work performance. After reviewing our instructional content, we coordinated with the Training and Development Team to secure a time with a skilled instructor for the session. The session is now scheduled, and the user has been informed of the date and time. The request is successfully concluded with no further issues.","Wood, John",0,71.03,ConnectHub Training Request,ConnectHub,Software/System: ConnectHub ; Issue/Request: ConnectHub Training Request,HELPDESK OPERATIONS,4850,customer,Resolved,0.7000000000000001,0.0
440,TASK0037492,Request,1/21/2021 9:08,Phone,Request for training on ContentCrafter to improve productivity,The customer has expressed interest in receiving training on ContentCrafter to enhance productivity. Our Training and Development Team has been informed and is in the process of coordinating a training session to meet the customer's needs.,ACCOUNT,ACCESS,"Rodriguez, Ana",1/21/2021 10:29,User requested training on ContentCrafter to enhance productivity. Coordinated with Training and Development Team to arrange a training session. Confirmed with the user that the session has been scheduled and provided details of the session. User is satisfied with the resolution.,"Oliver, Zoe",0,81.55,ContentCrafter Training Request,ContentCrafter,Software/System: ContentCrafter ; Issue/Request: ContentCrafter Training Request,HELPDESK OPERATIONS,1728,agent,Updated,0.6000000000000001,0.0
441,INC0047235,Incident,3/19/2021 8:08,Self-service,SCMHub incompatibility with latest OS update,Got a problem with SCMHub not working right with the latest OS update. Checked the software and OS versions to see where the problem might be.,SOFTWARE,MALFUNCTION,"Hernandez, Christopher",3/19/2021 11:02,Issue identified as a compatibility problem between SCMHub and the latest OS update. Collected software and OS version details. Verified the problem by replicating the malfunction in a controlled environment. Updated SCMHub to the latest available version which provided compatibility with the new OS update. Tested functionality post-update and confirmed that SCMHub is now working correctly. Informed the user about the resolution and provided guidance on future updates.,"Robinson, Brian",0,174.19,SCMHub Compatibility Issue,SCMHub,Software/System: SCMHub ; Issue/Request: SCMHub Compatibility Issue,APPLICATION SUPPORT,6570,customer,ISSUE RESOLVED,0.9,0.0
442,INC0070482,Incident,3/19/2021 13:13,Email,Frequent inability to launch AWS WorkSpaces due to resource allocation problem,"I'm reaching out because I've been consistently experiencing issues launching my AWS WorkSpaces. Each time I try, I'm unable to proceed as it suggests there's a lack of sufficient resources. I've checked my resource quotas and haven't exceeded any limits. This issue is starting to disrupt my team's operations as they depend heavily on these virtual workspaces for their daily tasks. I'd appreciate it if someone could look into this matter as soon as possible and provide guidance or a solution.",SOFTWARE,ERROR,"Phillips, Alexander",,"Investigated the reported issue with launching AWS WorkSpaces and confirmed the resource allocation problem. 
Reviewed the customer's resource quotas and verified that none were exceeded. 
Checked the AWS WorkSpaces configuration settings for any discrepancies that might affect resource availability. 
Identified that the issue was related to temporary resource constraints in the AWS environment. 
Advised the customer to try launching the WorkSpaces during off-peak hours to improve chances of successful connection. 
Recommended monitoring the AWS Service Health Dashboard for updates on resource availability. 
The customer was informed of potential adjustments to their resource allocation if the problem persists. 
The issue has been documented, and the customer has been guided on next steps. 
Ticket closed as the customer is aware of the situation and has a plan moving forward.","Perez, Ronald",2,6746.508873,Inability to launch WorkSpaces due to insufficient resource allocation.,AWS WorkSpaces,Software/System: AWS WorkSpaces ; Issue/Request: Inability to launch WorkSpaces due to insufficient resource allocation.,,12613,customer,Issue has been looked into. User can now launch AWS WorkSpaces.,0.8,0.2
443,INC007180,Incident,1/23/2021 12:53,Email,IBM Cognos Analytics not working ,"The client is unable to access IBM Cognos Analytics and is receiving the following error message:
['Error: ', 'Issue: ', '', '\t', '  ', '- ']'Corrupt registry entry'

I tried to restart the application and computer but the issue persists
Escalated to TIER 3",SOFTWARE,ERROR,"Rogers, Eleanor",1/23/2021 21:41,"Diagnosed the issue and found that the client was encountering a corrupt registry entry error when attempting to access IBM Cognos Analytics. 
Restarted both the application and the computer to see if the issue would resolve itself, but the error persisted. 
Escalated the ticket to TIER 3 for further investigation due to the nature of the error. 
TIER 3 performed a registry repair and confirmed the application is now functioning correctly. 
The client was informed of the resolution and is able to access IBM Cognos Analytics without any further issues. 
Ticket closed as the problem has been resolved and the client is satisfied with the outcome.","Oliver, Zoe",1,31686.08686,Error - Corrupt registry entry,IBM Cognos Analytics,Software/System: IBM Cognos Analytics ; Issue/Request: Error - Corrupt registry entry,TIER 2 TEAM,9092,agent,Issue resolved. The client can access IBM Cognos Analytics now.,0.8,0.1
444,INC0043077,Incident,2/23/2021 15:21,Email,Users experiencing sluggish performance with EAMS during large queries.,"Users are experiencing sluggish behavior with EAMS when executing large queries. Preliminary checks were performed to eliminate the possibility of hardware issues. 

The concern has been escalated to the Performance Optimization Team.",SOFTWARE,MALFUNCTION,"White, Steven",2/23/2021 17:32,"Resolved the sluggish performance issue users were experiencing with EAMS when executing large queries. Initial diagnostic checks included ensuring no underlying hardware issues, confirming adequate system resources (CPU, memory, disk I/O) were available, and verifying there were no network bottlenecks. Proceeded to review the application logs, which indicated that the performance bottleneck was related to inefficient query execution plans. Optimized the database indexes and restructured the problematic queries for better performance. Conducted thorough testing post-optimization to verify improvements. Users reported significant performance improvement post-resolution.","Perez, Ronald",0,131.74,EAMS Slow Performance Issue,EAMS,Software/System: EAMS ; Issue/Request: EAMS Slow Performance Issue,PERFORMANCE MONITORING,4512,agent,ISSUE RESOLVED,0.9,0.0
445,TASK0043997,Request,2/27/2021 11:46,Phone,Request to install FRTech version 5.0 on computer,"Hey there, can you guys install FRTech version 5.0 on my computer? Let me know, thanks!",SOFTWARE,INSTALLATION,"Sanchez, Nancy",2/27/2021 16:06,"The installation request for FRTech version 5.0 was completed successfully. The following steps were taken:1. Confirmed with the user that they had the necessary permissions to install software on their computer.2. Downloaded the FRTech version 5.0 installer from the official source.3. Ran a virus scan on the downloaded installer to ensure it was safe.4. Installed FRTech version 5.0, following the installation wizard prompts.5. Verified the installation by launching FRTech and ensuring it ran without errors.6. Confirmed with the user that FRTech version 5.0 was working as expected and provided a brief overview of any new features and changes.The ticket has been successfully resolved.","Howard, Grace",0,260.3,FRTech Install Request,FRTech,Software/System: FRTech ; Issue/Request: FRTech Install Request,DESKTOP SUPPORT,4958,customer,ISSUE RESOLVED,0.9,0.0
446,INC0042749,Incident,2/20/2021 9:57,Phone,InvoiceInsight lagging during intensive data analysis operations,"I've been experiencing issues with InvoiceInsight lagging, particularly when performing intensive data analysis tasks. It seems like there might be some problems with the software, as initial checks have shown there aren’t any hardware issues. Can you please look into this further and optimize the performance?",SOFTWARE,MALFUNCTION,"Howard, Madison",2/20/2021 10:40,Issue resolved by performing several optimization steps:                    1. Cleared cache and temporary files related to the InvoiceInsight application.                   2. Updated the application to the latest version to ensure all recent performance fixes are applied.                   3. Increased the application's allocated memory limit in the configuration settings.                   4. Optimized database queries used in data analysis to reduce processing time.                   5. Monitored application performance post-optimization and confirmed significant improvement.                    Users were notified to reopen a ticket if further issues persist.,"Adams, Joseph",0,43.87,InvoiceInsight Slow Performance Issue,InvoiceInsight,Software/System: InvoiceInsight ; Issue/Request: InvoiceInsight Slow Performance Issue,PERFORMANCE MONITORING,4349,customer,See worknotes,0.8,0.0
447,TASK0039912,Request,2/4/2021 9:51,Email,Request to install ResourceRanger 5.0 software,"The customer is requesting for the following software to be installed.

Name: ResourceRanger 5.0

Please install the software on the user's machine as soon as possible. 

Escalating to Software Installation Team",SOFTWARE,INSTALLATION,"Murray, Gianna",2/4/2021 18:46,The ResourceRanger 5.0 software was successfully installed on the user's machine. Steps taken for installation included: 1. Verified the user's system met the software requirements. 2. Downloaded the ResourceRanger 5.0 installation package from the official source. 3. Ran the installer with administrative privileges. 4. Followed the installation wizard prompts to complete the setup. 5. Activated the software using the provided license key. 6. Conducted a brief test to ensure the software was functioning correctly. The user confirmed that ResourceRanger 5.0 is working and there were no issues.,"Cooper, Steven",3,535.23,ResourceRanger Install Request,ResourceRanger,Software/System: ResourceRanger ; Issue/Request: ResourceRanger Install Request,APPLICATION SUPPORT,2937,agent,Fixed,0.9,0.0
448,TASK0037449,Request,1/21/2021 7:11,Phone,Upgrade to QSERank version 4.1 for the project management team.,"We, the project management team, are looking to upgrade to the latest version 4.1 of QSERank to enhance our workflow efficiency. We have evaluated the software licensing and hardware compatibility for this upgrade. The Software Implementation Group is currently handling the installation process.",SOFTWARE,INSTALLATION,"Cooper, Nora",1/21/2021 15:36,"The Software Implementation Group has successfully completed the upgrade to QSERank version 4.1. To ensure a seamless transition, the following steps were taken: 1. Verified software licensing compliance and hardware compatibility. 2. Performed a full backup of the existing QSERank system to prevent data loss. 3. Uninstalled the previous version of QSERank. 4. Installed QSERank version 4.1. 5. Configured the software settings to align with the team’s workflow requirements. 6. Conducted system testing to confirm the software is working as expected without issues. 7. Provided user training and updated documentation. The project management team should now experience enhanced workflow efficiency with the new version in place.","Edwards, Jerry",1,505.51,QSERank Install Request,QSERank,Software/System: QSERank ; Issue/Request: QSERank Install Request,SOFTWARE DEVELOPMENT,1706,agent,Closed,0.9,0.0
449,TASK0047254,Request,3/19/2021 9:00,Phone,Request for additional WebWise licenses to support team projects.,"Received a request from several team members for additional WebWise licenses to support their projects. Evaluated our license inventory and identified the necessity based on their usage patterns. 

Currently, this is being escalated to the Licensing Team.",SOFTWARE,ACCESS,"Gonzalez, Matthew",3/26/2021 21:31,Evaluated the request for additional WebWise licenses from multiple team members. Reviewed current usage patterns and analyzed the existing inventory. It was identified that there is a genuine need for additional licenses. Increased the license count in our system and distributed the new licenses among the requesting team members. Provided them with instructions on how to activate their new licenses. Confirmed that the new licenses are active and working correctly by collaborating with the team members. Issue resolved and closed.,"Wood, John",4,10831.19,WebWise License Request,WebWise,Software/System: WebWise ; Issue/Request: WebWise License Request,ASSET MANAGEMENT,6580,agent,No further action required,0.7000000000000001,0.0
